movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits
20185406,4,311910,헬보이,Hellboy,20190410.0,액션,어드벤처,판타지,청소년관람불가
20182501,8,46139,왓칭,Watching,20190417.0,공포(호러),스릴러,판타지,15세이상관람가
20198844,10,83953,아이 엠 마더,Peppermint,20190411.0,액션,드라마,스릴러,15세이상관람가
20196244,5,636971,샤잠!,SHAZAM!,20190403.0,액션,드라마,스릴러,12세이상관람가
20185352,6,1450902,어스,Us,20190327.0,공포(호러),스릴러,스릴러,15세이상관람가
20197423,7,87134,공포의 묘지,Pet Sematary,20190410.0,공포(호러),스릴러,스릴러,15세이상관람가
20183773,8,390548,장난스런 키스,Fall in Love at First Kiss,20190327.0,멜로/로맨스,스릴러,스릴러,12세이상관람가
20198403,10,67395,파이브 피트,Five Feet Apart,20190410.0,드라마,멜로/로맨스,스릴러,15세이상관람가
20196025,7,296253,덤보,Dumbo,20190327.0,가족,판타지,스릴러,전체관람가
20197092,8,46938,로망,Romang,20190403.0,멜로/로맨스,판타지,스릴러,전체관람가
20198146,9,35223,콜레트,COLETTE,20190327.0,드라마,판타지,스릴러,15세이상관람가
20197846,6,254449,악질경찰,Jo Pil-ho: The Dawning Rage,20190320.0,범죄,드라마,스릴러,청소년관람불가
20175407,7,175481,우상,Idol,20190320.0,스릴러,드라마,스릴러,15세이상관람가
20166301,8,26086,썬키스 패밀리,Sunkist Family,20190327.0,가족,멜로/로맨스,코미디,15세이상관람가
20197483,9,46858,1919 유관순,1919 Yu-kwan-sun,20190314.0,다큐멘터리,멜로/로맨스,코미디,12세이상관람가
20197283,4,544462,이스케이프 룸,The Escape Room,20190314.0,액션,공포(호러),스릴러,15세이상관람가
20197356,6,93476,라스트 미션,The Mule,20190314.0,드라마,공포(호러),스릴러,15세이상관람가
20198603,7,24340,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,20190321.0,애니메이션,액션,판타지,15세이상관람가
20197617,8,22534,정글북: 마법 원정대,Savva,20190321.0,애니메이션,어드벤처,판타지,전체관람가
20184574,9,409871,그린 북,Green Book,20190109.0,드라마,어드벤처,판타지,12세이상관람가
20196601,10,1143977,항거:유관순 이야기,A Resistance,20190227.0,드라마,어드벤처,판타지,12세이상관람가
20182530,5,16243231,극한직업,Extreme Job,20190123.0,코미디,어드벤처,판타지,15세이상관람가
20185881,7,2519150,증인,Innocent Witness,20190213.0,드라마,어드벤처,판타지,12세이상관람가
20177539,8,2389760,사바하,SVAHA : THE SIXTH FINGER,20190220.0,미스터리,스릴러,판타지,15세이상관람가
20196723,10,18305,숲속왕국의 꿀벌 여왕,Tall Tales,20190314.0,애니메이션,어드벤처,코미디,전체관람가
20180937,7,133508,더 페이버릿: 여왕의 여자,THE FAVOURITE,20190221.0,드라마,어드벤처,코미디,15세이상관람가
20177282,8,16489,리노,Lino - Adventure of Seven Lives,20190307.0,애니메이션,어드벤처,가족,전체관람가
20176442,9,168884,자전차왕 엄복동,Race to Freedom : Um Bok Dong,20190227.0,드라마,어드벤처,가족,12세이상관람가
20195743,10,281705,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,20190220.0,애니메이션,판타지,가족,전체관람가
20195791,7,70827,"어쩌다, 결혼",Trade Your Love,20190227.0,멜로/로맨스,코미디,가족,12세이상관람가
20186261,8,1498759,드래곤 길들이기 3,How to Train Your Dragon 3,20190130.0,애니메이션,코미디,가족,전체관람가
20188282,10,1946206,알리타: 배틀 엔젤,Alita: Battle Angel,20190205.0,액션,어드벤처,멜로/로맨스,12세이상관람가
20195915,6,392397,해피 데스데이 2 유,Happy Death Day 2 U,20190214.0,공포(호러),코미디,멜로/로맨스,15세이상관람가
20020222,8,79301,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,20021213.0,드라마,코미디,멜로/로맨스,전체관람가
20185576,9,78303,콜드 체이싱,Cold Pursuit,20190220.0,액션,코미디,멜로/로맨스,15세이상관람가
20184888,10,199519,메리 포핀스 리턴즈,Mary Poppins Returns,20190214.0,판타지,뮤지컬,멜로/로맨스,전체관람가
20174169,5,216254,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,20190213.0,코미디,가족,멜로/로맨스,12세이상관람가
20180868,8,1821147,뺑반,Hit-and-Run Squad,20190130.0,범죄,액션,멜로/로맨스,15세이상관람가
20162003,9,83376,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,20190214.0,애니메이션,미스터리,멜로/로맨스,12세이상관람가
20185478,10,558144,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,20190131.0,애니메이션,미스터리,멜로/로맨스,전체관람가
20185444,6,71030,레고 무비2,The Lego Movie 2: The Second Part,20190206.0,애니메이션,액션,어드벤처,전체관람가
20184105,7,2848736,말모이,MAL·MO·E: The Secret Mission,20190109.0,드라마,액션,어드벤처,12세이상관람가
20185124,8,342366,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,20190126.0,공연,액션,어드벤처,전체관람가
