movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20184572,6,2212819,타짜: 원 아이드 잭,Tazza: One Eyed Jack,20190911.0,범죄,드라마,어드벤처,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/0969/96951_P31_160647.jpg,5.35,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96951
20193807,7,292246,예스터데이,YESTERDAY,20190918.0,드라마,드라마,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1831/183110_P04_135636.jpg,6.51,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183110
20187322,9,1166190,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",20190911.0,코미디,드라마,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175316_P33_112305.jpg,7.57,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175316
20195968,10,44682,더 룸,The Room,20190925.0,미스터리,스릴러,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1839/183994_P19_111920.jpg,7.7,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183994
20193821,6,558571,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,20190904.0,애니메이션,스릴러,어드벤처,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1873/187366_P12_173131.jpg,7.5,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187366
20192804,8,584467,그것: 두 번째 이야기,It Chapter Two,20190904.0,스릴러,스릴러,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1675/167560_P15_134853.jpg,6.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167560
20184621,9,9407843,엑시트,EXIT,20190731.0,코미디,액션,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,8.3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903
20181103,10,93366,벌새,House of Hummingbird,20190829.0,드라마,액션,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1793/179307_P21_104817.jpg,8.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179307
20181416,7,1225554,유열의 음악앨범,Tune in for Love,20190828.0,멜로/로맨스,드라마,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179158_P35_115826.jpg,6.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179158
20194045,8,56299,극장판 반지의 비밀일기,,20190911.0,애니메이션,드라마,어드벤처,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1859/185913_P12_101651.jpg,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185913
20196850,9,3649860,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,20190814.0,액션,드라마,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182355_P29_103027.jpg,7.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182355
20184543,10,1797796,변신,Metamorphosis,20190821.0,공포(호러),스릴러,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180351_P52_141008.jpg,6.8,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180351
20193665,7,440356,47미터 2,47 METERS DOWN: UNCAGED,20190828.0,공포(호러),스릴러,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1871/187161_P20_165234.jpg,7.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187161
20184462,8,4767092,봉오동 전투,The Battle: Roar to Victory,20190807.0,사극,액션,드라마,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1785/178526_P39_141329.jpg,7.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178526
